trial_id,cohort,ambient_lux,stress_level_db,reaction_latency_ms,hit_rate,false_alarm_rate,d_prime,beta_criterion,nasa_tlx_score,ammunition_saved_rounds
1,Control_Untrained,2.57,90.7,780.9,0.72,0.28,1.24,0.94,77.6,0
2,VR_Inoculated,2.57,90.7,452.9,0.94,0.06,2.82,1.05,45.2,350
3,Control_Untrained,1.23,92.9,748.5,0.72,0.28,1.24,0.94,69.8,0
4,VR_Inoculated,1.23,92.9,486.1,0.94,0.06,2.82,1.05,52.2,350
5,Control_Untrained,1.25,94.9,857.3,0.72,0.28,1.24,0.94,78.7,0
6,VR_Inoculated,1.25,94.9,425.4,0.94,0.06,2.82,1.05,36.2,350
7,Control_Untrained,3.96,93.3,776.3,0.72,0.28,1.24,0.94,75.0,0
8,VR_Inoculated,3.96,93.3,500.4,0.94,0.06,2.82,1.05,43.8,350
9,Control_Untrained,3.19,86.6,734.7,0.72,0.28,1.24,0.94,86.3,0
10,VR_Inoculated,3.19,86.6,448.2,0.94,0.06,2.82,1.05,43.1,350
11,Control_Untrained,0.71,86.8,786.2,0.72,0.28,1.24,0.94,73.5,0
12,VR_Inoculated,0.71,86.8,549.0,0.94,0.06,2.82,1.05,39.0,350
13,Control_Untrained,0.7,91.4,765.1,0.72,0.28,1.24,0.94,80.9,0
14,VR_Inoculated,0.7,91.4,443.7,0.94,0.06,2.82,1.05,45.2,350
15,Control_Untrained,3.49,85.9,770.7,0.72,0.28,1.24,0.94,80.9,0
16,VR_Inoculated,3.49,85.9,447.8,0.94,0.06,2.82,1.05,38.3,350
17,Control_Untrained,0.82,91.1,677.8,0.72,0.28,1.24,0.94,83.7,0
18,VR_Inoculated,0.82,91.1,510.8,0.94,0.06,2.82,1.05,31.2,350
19,Control_Untrained,3.28,88.4,674.0,0.72,0.28,1.24,0.94,71.4,0
20,VR_Inoculated,3.28,88.4,474.8,0.94,0.06,2.82,1.05,44.6,350
21,Control_Untrained,3.3,88.9,770.0,0.72,0.28,1.24,0.94,71.2,0
22,VR_Inoculated,3.3,88.9,500.5,0.94,0.06,2.82,1.05,37.5,350
23,Control_Untrained,2.25,88.6,772.4,0.72,0.28,1.24,0.94,66.9,0
24,VR_Inoculated,2.25,88.6,435.7,0.94,0.06,2.82,1.05,35.3,350
25,Control_Untrained,0.59,90.5,705.3,0.72,0.28,1.24,0.94,75.2,0
26,VR_Inoculated,0.59,90.5,454.3,0.94,0.06,2.82,1.05,43.4,350
27,Control_Untrained,3.28,87.7,747.3,0.72,0.28,1.24,0.94,79.7,0
28,VR_Inoculated,3.28,87.7,505.1,0.94,0.06,2.82,1.05,38.5,350
29,Control_Untrained,1.61,90.8,770.5,0.72,0.28,1.24,0.94,74.7,0
30,VR_Inoculated,1.61,90.8,463.0,0.94,0.06,2.82,1.05,52.9,350
31,Control_Untrained,1.39,92.3,753.8,0.72,0.28,1.24,0.94,76.0,0
32,VR_Inoculated,1.39,92.3,471.9,0.94,0.06,2.82,1.05,39.2,350
33,Control_Untrained,4.06,91.9,732.2,0.72,0.28,1.24,0.94,79.3,0
34,VR_Inoculated,4.06,91.9,491.0,0.94,0.06,2.82,1.05,43.1,350
